"sess","id","whole","time","where","day","sessname"
17,27,"semiparametric estimation for the additive hazards model with left-truncated and right-censored data jing qin, national institute of allergy and infectious chiung-yu huang*, johns hopkins university diseases, national institutes of health","8:55","Grand Ballroom III (3rd Floor)","Monday, March 17","17. recent advances in lifetime data analysis"
17,28,"semiparametric inference on the absolute risk reduction and the restricted mean survival difference national institutes of health song yang*, national heart, lung, and blood institute,","9:20","Grand Ballroom III (3rd Floor)","Monday, March 17","17. recent advances in lifetime data analysis"
17,29,"evaluating calibration of risk prediction models ruth pfeiffer*, national cancer institute, national institutes of health","9:45","Grand Ballroom III (3rd Floor)","Monday, March 17","17. recent advances in lifetime data analysis"
18,30,"18. contributed papers: epidemiologic methods institute of child health and human development, national institutes of health","10:10","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,31,"modeling epidemiological features of disease outbreaks manasi sheth-chandra*, booz allen hamilton n. rao chaganty, old dominion university","8:30","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,32,"a stochastic model for explicit estimation of effect modification in finite sample xiaoshan wang* and jacqueline starr, forsyth institute","8:45","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,33,"modeling the effects of climate change and air quality on asthma, accounting for uncertainty stacey e. alexeeff*, stephan r. sain and doug nychka, national center for atmospheric research","9:00","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,34,"one novel approach to handle random measurement error using hidden markov models lola luo*, dylan small and jason a. roy, university of pennsylvania","9:15","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,35,"quantifying circadian trajectory of fatigability using the proportional intensity model jiawei bai*, jennifer schrack and mei-cheng wang, luigi ferrucci, national institute of aging, national ciprian m. crainiceanu, johns hopkins university johns hopkins university institutes of health","9:30","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,36,"a comparison of methods for biomarker associations with endogenous treatment andrew j. spieker*, joseph ac delaney and robyn l. mcclelland, university of washington","9:45","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
18,37,"modeling temporal patterns in exposure/response relationships with change points, with an application to incident obstructive airway disease rescue/recovery effort of yeshiva university rachel zeig-owens, montefiore medical center david prezant, fire department of the city of new york in firefighters exposed to the world trade center charles b. hall*, albert einstein college of medicine michelle glaser, mayris webber, xiaoxue liu and","10:00","Grand Ballroom IV (3rd Floor)","Monday, March 17","18. contributed papers: epidemiologic methods"
19,38,"19. contributed papers: computational methods and implementation","10:00","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
19,39,"performance of shannon’s maximum entropy distribution under some restrictions sinan saracli* and hatice cicek, afyon kocatepe university","8:30","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
19,40,"propensity score matching with survival outcomes: critical considerations in the choice of the caliper size edwin mcgee, jane kruse and patrick m. mccarthy, adin-cristian andrei*, zhi li, s. chris malaisrie, bluhm cardiovascular institute, northwestern university","8:45","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
19,41,"model free variable rank using randomized decision tree, an ensemble of trees bong-jin choi* and chris p. tsokos, university of 50 enar 2014 | spring meeting | march 16–19 south florida * = presenter | n = student award winner","9:00","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
19,42,"optimal computational and statistical rates of convergence for sparse nonconvex learning problems tong zhang, rutgers university zhaoran wang* and han liu, princeton university","9:15","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
19,43,"a modified em algorithm for regression analysis of data with non-ignorable non-response yang zhang* and gong tang, university of pittsburgh","9:30","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
19,44,"a computationally fast and asymptotically efficient approach for the broken-stick model ritabrata das*, moulinath banerjee and bin nan, university of michigan","9:45","Atlantic Room (3rd Floor)","Monday, March 17","19. contributed papers: computational methods and implementation"
20,45,"20. contributed papers: non-parametric and semiparametric methods in functional data analysis joseph usset*, ana-maria staicu and arnab maity, interaction models for functional data north carolina state university","9:45","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
20,46,"restricted likelihood ratio tests for linearity in scalar-on-function regression mathew w. mclean*, texas a&m university giles hooker and david ruppert, cornell university","8:30","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
20,47,"incorporating covariates in skewed functional data models meng li*, ana-maria staicu and howard d. bondell, north carolina state university","8:45","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
20,48,"simultaneous inference for repeated functional data guanqun cao*, auburn university lily wang, university of georgia","9:00","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
20,49,"generalized functional concurrent model janet s. kim*, arnab maity and ana-maria staicu, north carolina state university","9:15","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
20,50,"variable-domain functional regression jonathan e. gellar n and elizabeth colantuoni, johns hopkins bloomberg school of public health ciprian m. crainiceanu, johns hopkins bloomberg dale m. needham, johns hopkins school of medicine school of public health","9:30","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
20,51,"a novel statistical method based on dynamic models for classification lerong li* and momiao xiong, university of texas school of public health, houston","10:00","Bristol Room (3rd Floor)","Monday, March 17","20. contributed papers: non-parametric and semiparametric methods in functional data analysis"
21,52,"21. contributed papers: statistical methods for microarray and biomarker data of child health and human development, national institutes a semi-parametric model for time-dependent weining shen*, jing ning and ying yuan, university of texas md anderson cancer center program 51 of health predictive accuracy curves of biomarkers * = presenter | n = student award winner","10:00","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
21,53,"modeling qrt-pcr dynamics with application to cancer biomarkers quantification inna chervoneva*, thomas jefferson university","8:30","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
21,54,"evaluation drug efficacy in the presence of the imperfect companion diagnostic device meijuan li*, u.s. food and drug administration","8:45","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
21,55,"joint graphical models for relational structures in multi-dimensional phenotypic data vivian h. shih*, novartis pharmaceuticals catherine a. sugar, university of california, los angeles","9:00","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
21,56,"sample size methods for training classifiers developed from regularized logistic regression sandra safo*, xiao song and kevin k. dobbin, university of georgia","9:15","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
21,57,"bilaterally contaminated normal model with nuisance parameter and its applications qian fan*, university of kentucky richard j. charnigo, university of kentucky hongying dai, children’s mercy hospital","9:30","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
21,58,"correlation coefficient inference for left-censored biomarker data with known detection limits courtney e. mccracken, emory university stephen w. looney*, georgia regents university","9:45","Grand Ballroom X (3rd Floor)","Monday, March 17","21. contributed papers: statistical methods for microarray and biomarker data"
22,59,"22. contributed papers: machine learning among binary predictors for classifying bethany j. wolf* and elizabeth g. hill, medical university elizabeth h. slate, florida state university ordinal logic forest: discovering interactions ordinal responses of south carolina","10:00","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
22,60,"joint estimation of multiple graphical models from high dimensional dependent data huitong qiu n and fang han, johns hopkins university brian s. caffo, johns hopkins university han liu, princeton university","8:30","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
22,61,"mbact - multiclass bayesian additive classification trees bereket p. kindo*, hao wang and edsel a. pena, university of south carolina","8:45","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
22,62,"random forest importance scores: significance testing and conditional importance eric bair* and lira pi, university of north carolina, chapel hill","9:00","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
22,63,"large-margin classifier selection via decision boundary instability wei sun* and guang cheng, purdue university yufeng liu, university of north carolina, chapel hill","9:15","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
22,64,"bias correction for selecting the minimal-error classifier from many machine learning models ying ding*, shaowu tang, ge liao, jia jia, yan lin and george c. tseng, university of pittsburgh","9:30","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
22,65,"ensemble learning of inverse probability weights for marginal structural modeling in large observational datasets of public health carlos iii, madrid, spain susan gruber* and roger w. logan, harvard school inmaculada jarrin and susana monge, instituto de salud miguel hernan, harvard school of public health","9:45","Grand Ballroom VII (3rd Floor)","Monday, March 17","22. contributed papers: machine learning"
23,66,"23. contributed papers: multiple testing dorfman testing with correlated responses bahjat f. qaqish, university of north carolina, chapel hill * = presenter | n = student award winner institutes of health elena k. bordonali*, michael g. hudgens and 52 enar 2014 | spring meeting | march 16–19","10:00","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
23,67,"sizing clinical trials that compare two interventions using two time-to-event outcomes yuki ando, pharmaceuticals and medical devices agency of medicine and national cerebral and cardiovascular center of science & technology yuko ohno, osaka university graduate school of medicine toshimitsu hamasaki*, osaka university graduate school tomoyuki sugimoto, hirosaki university graduate school scott r. evans, harvard school of public health","8:30","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
23,68,"multiple simultaneous tests for noninferiority and superiority: a graphical approach heng li and vandana mukhi*, u.s. food and drug administration","8:45","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
23,69,"multiple testing that considers assumptions and network demba fofana*, e. o. george and dale bowman, university of memphis","9:00","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
23,70,"testing the disjunction hypothesis using voronoi diagrams, with applications to genetics daisy phillips* and debashis ghosh, the pennsylvania state university","9:15","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
23,71,"a class of improved hybrid hochberg-hommel type step-up multiple test procedures jiangtao gou* and ajit c. tamhane, northwestern dong xi, novartis pharmaceuticals corporation university dror rom, prosoft software, inc.","9:30","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
23,72,"identifying multiple regulation across a diverse set of outcomes denis m. agniel* and tianxi cai, harvard university","9:45","Grand Ballroom IX (3rd Floor)","Monday, March 17","23. contributed papers: multiple testing"
24,73,"24. contributed papers: methods for statistical genetics people can’t see statistical significance: perception of relationships johns hopkins bloomberg school of public health monday, march 17 a massive randomized trial on the visual aaron fisher*, georgiana b. anderson and jeff leek,","10:00","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,74,"fitting generalized linear mixed models to family data in genetic association studies tao wang*, peng he and kwang woo ahn, medical xujing wang, university of alabama, birmingham purushottam laud, medical college of wisconsin college of wisconsin soumitra ghosh, glaxosmithkline","8:30","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,75,"kernel methods for regression analysis of microbiome compositional data jun chen*, harvard school of public health hongzhe li, university of pennsylvania","8:45","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,76,"latent class quantitative trait loci (qtl) mapping shuyun ye*, xiaomao li, mark keller, alan attie and christina kendziorski, university of wisconsin, madison","9:00","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,77,"using gene expression to improve the power of genome-wide association analysis yen-yi ho* and emily c. baechler, university of minnesota and tushar r. bhangale, genentech, inc. ward ortmann, timothy w. behrens, robert r. graham wei pan, university of minnesota","9:15","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,78,"extending linear predictors to impute genotypes in pedigrees wenan chen* and daniel j. schaid, mayo clinic","9:30","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,79,"inferring rare disease risk variants based on exact probabilities of sharing by multiple affected relatives de québec margaret m. parker, johns hopkins bloomberg school joan e. bailey-wilson, national human genome research institute, national institutes of health mary l. marazita, university of pittsburgh alexandre bureau*, institut universitaire en santé mentale samuel younkin, university of wisconsin, madison of public health jeffrey c. murray, university of iowa elisabeth mangold, university of bonn hasan albacha-hejazi, dr. hejazi clinic terri h. beaty and ingo ruczinski, johns hopkins bloomberg school of public health","9:45","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
24,80,"refreshment break with our exhibitors monday, march 17","10:15","Chasseur Ballroom (3rd Floor)","Monday, March 17","24. contributed papers: methods for statistical genetics"
25,81,"25. statistical innovations for studying the human brain function a new method for estimating changes in granger ivor cribben*, university of alberta in imaging causality in eeg data","10:30","Grand Ballroom Foyer (3rd Floor)","Monday, March 17","25. statistical innovations for studying the human brain function"
25,82,"genome-wide scan of brain phenotypes discovers common genetic variants influencing cortical surface area university of california, san diego anders dale, university of california, san diego chi-hua chen*, andrew schork and wes thompson, ole andreasssen, university of oslo","10:55","Grand Ballroom Foyer (3rd Floor)","Monday, March 17","25. statistical innovations for studying the human brain function"
25,83,"comparison of parametric and semiparametric statistical methods and signal processing methodology for fmri signal analysis illustrated jaroslaw harezlak*, indiana university fairbanks school mario dzemidzic, indiana university school of medicine fairbanks school of public health brandon g. oberlin and david a. kareken, indiana university school of medicine using a gustatory experiment of public health maria a. kudela and jacek urbanek, indiana university program 53 * = presenter | n = student award winner","11:20","Grand Ballroom Foyer (3rd Floor)","Monday, March 17","25. statistical innovations for studying the human brain function"
25,84,"a semi-parametric quadratic inference approach for longitudinal fmri data yu chen*, timothy d. johnson and min zhang, university of michigan","11:45","Grand Ballroom Foyer (3rd Floor)","Monday, March 17","25. statistical innovations for studying the human brain function"
26,86,"26. meta-analysis of gene-environment interaction in the post-gwas era cancer center and the environment","12:10","Grand Ballroom II (3rd Floor)","Monday, March 17","26. meta-analysis of gene-environment interaction in the post-gwas era"
26,87,"testing gxe in genome-wide association studies li hsu*, fred hutchinson cancer research center","10:30","Grand Ballroom II (3rd Floor)","Monday, March 17","26. meta-analysis of gene-environment interaction in the post-gwas era"
26,88,"bayesian meta-analysis methods for detecting g-e interactions in genomic data xiaoquan wen*, university of michigan","10:55","Grand Ballroom II (3rd Floor)","Monday, March 17","26. meta-analysis of gene-environment interaction in the post-gwas era"
26,89,"the role of covariate heterogeneity in meta-analysis of gene-environment interactions with quantitative traits shi li, eli lilly and company bhramar mukherjee*, university of michigan","11:20","Grand Ballroom II (3rd Floor)","Monday, March 17","26. meta-analysis of gene-environment interaction in the post-gwas era"
26,90,"meta and mega analysis of g x e interactions with complex disease outcomes: experience and insights from the charge consortium university of washington kenneth rice* and colleen sitlani,","11:45","Grand Ballroom II (3rd Floor)","Monday, March 17","26. meta-analysis of gene-environment interaction in the post-gwas era"
27,91,"27. statistics methods for high-throughput genomics asa biopharmaceutical section","12:10","Grand Ballroom VI (3rd Floor)","Monday, March 17","27. statistics methods for high-throughput genomics"
27,92,"statistical issues with rnaseq data rafael irizarry*, dana-farber cancer institute and harvard school of public health","10:30","Grand Ballroom VI (3rd Floor)","Monday, March 17","27. statistics methods for high-throughput genomics"
27,93,"model-based estimation of abundances of species, microbial genes and pathways in metagenomic data hongzhe li* and eric chen, university of pennsylvania","10:55","Grand Ballroom VI (3rd Floor)","Monday, March 17","27. statistics methods for high-throughput genomics"
27,94,"statistical analysis of time course chip-seq data xuekui zhang and hongkai ji*, johns hopkins bloomberg school of public health","11:20","Grand Ballroom VI (3rd Floor)","Monday, March 17","27. statistics methods for high-throughput genomics"
27,95,"sequencing thousands of human genomes goncalo r. abecasis, university of michigan school of public health","11:45","Grand Ballroom VI (3rd Floor)","Monday, March 17","27. statistics methods for high-throughput genomics"
28,96,"28. panel discussion: personalized medicine: better treatment for the patient or the right patient for the treatment?","12:10","Grand Ballroom V (3rd Floor)","Monday, March 17","28. panel discussion: personalized medicine: better treatment for the patient or the right patient for the treatment?"
28,97,"personanalized medicine: better treatment for the patient or the right patient for the treatments? anastasios a. tsiatis, north carolina state university","10:30","Grand Ballroom V (3rd Floor)","Monday, March 17","28. panel discussion: personalized medicine: better treatment for the patient or the right patient for the treatment?"
28,98,"keaven m. anderson, merck & company, inc.","10:55","Grand Ballroom V (3rd Floor)","Monday, March 17","28. panel discussion: personalized medicine: better treatment for the patient or the right patient for the treatment?"
28,99,"discussion stephen j. ruberg, eli lilly and company — distinguished research fellow lisa m. lavange, u.s. food and drug administration sandeep m. menon, pfizer inc. and boston university ilya lipkovich, quintiles","11:20","Grand Ballroom V (3rd Floor)","Monday, March 17","28. panel discussion: personalized medicine: better treatment for the patient or the right patient for the treatment?"
28,100,"54 enar 2014 | spring meeting | march 16–19 * = presenter | n = student award winner","12:00","Grand Ballroom V (3rd Floor)","Monday, March 17","28. panel discussion: personalized medicine: better treatment for the patient or the right patient for the treatment?"
29,101,"29. recent advances in statistical methods for meta-analysis science, asa biopharmaceutical section center at houston","12:00","Grand Ballroom VIII (3rd Floor)","Monday, March 17","29. recent advances in statistical methods for meta-analysis"
29,102,"bayesian network meta-analysis for categorical outcomes christopher h. schmid* and thomas a. trikalinos, brown university","10:30","Grand Ballroom VIII (3rd Floor)","Monday, March 17","29. recent advances in statistical methods for meta-analysis"
29,103,"incorporation of mixed bivariate outcomes and individual patient data in network meta analysis bradley p. carlin* and hwanhee hong, university haoda fu and karen l. price, eli lilly and company of minnesota","11:00","Grand Ballroom VIII (3rd Floor)","Monday, March 17","29. recent advances in statistical methods for meta-analysis"
29,104,"meta-analysis of diagnostic test accuracy comparisons: network methods wei cheng, constantine gatsonis*, christopher schmid and thomas trikalinos, brown university","11:30","Grand Ballroom VIII (3rd Floor)","Monday, March 17","29. recent advances in statistical methods for meta-analysis"
30,105,"30. subgroup analysis and personalized prediction","12:00","Grand Ballroom III (3rd Floor)","Monday, March 17","30. subgroup analysis and personalized prediction"
30,106,"personalized prediction yunzhang zhu, xiaotong shen*, and changqing ye, university of minnesota","10:30","Grand Ballroom III (3rd Floor)","Monday, March 17","30. subgroup analysis and personalized prediction"
30,107,"personalized treatment for longitudinal data hyunkeun cho*, western michigan university peng wang, bowling green state university annie qu, university of illinois, urbana-champaign","10:55","Grand Ballroom III (3rd Floor)","Monday, March 17","30. subgroup analysis and personalized prediction"
30,108,"multiway clustering with hidden structure bruce g. lindsay*, the pennsylvania state university francesco bartolucci, university of perugia francesca chiaromonte, the pennsylvania state university","11:20","Grand Ballroom III (3rd Floor)","Monday, March 17","30. subgroup analysis and personalized prediction"
30,109,"model-based inference in subgroup analysis xuming he* and juan shen, university of michigan","11:45","Grand Ballroom III (3rd Floor)","Monday, March 17","30. subgroup analysis and personalized prediction"
31,111,"31. latent variable modeling for multiple outcomes and growth models in psychiatric studies","12:10","Grand Ballroom IX (3rd Floor)","Monday, March 17","31. latent variable modeling for multiple outcomes and growth models in psychiatric studies"
31,112,"shared versus specific effects of treatment on multiple outcomes in clinical trials using latent variable modeling melanie wall*, columbia university","10:30","Grand Ballroom IX (3rd Floor)","Monday, March 17","31. latent variable modeling for multiple outcomes and growth models in psychiatric studies"
31,113,"using multiple imputation to harmonize data across multiple trials that use different outcome measures ahnalee brinks, university of miami jerome p. reiter, duke university juned siddique*, northwestern university charles h. brown, northwestern university","10:55","Grand Ballroom IX (3rd Floor)","Monday, March 17","31. latent variable modeling for multiple outcomes and growth models in psychiatric studies"
31,114,"simultaneous estimation of mixture model for multilevel data haiqun lin*, shu-xia li, xiao xu and harlan m. krumholz, yale university","11:20","Grand Ballroom IX (3rd Floor)","Monday, March 17","31. latent variable modeling for multiple outcomes and growth models in psychiatric studies"
31,115,"three novel applications of latent variable modeling: a discussion samprit banerjee*, cornell university","11:45","Grand Ballroom IX (3rd Floor)","Monday, March 17","31. latent variable modeling for multiple outcomes and growth models in psychiatric studies"
32,116,"32. contributed papers: bayesian analysis of high dimensional data","12:10","Grand Ballroom VII (3rd Floor)","Monday, March 17","32. contributed papers: bayesian analysis of high dimensional data"
32,117,"constrained priors and x-inactivation alan b. lenarcic*, john calaway, fernando pardo and william valdar, university of north carolina, chapel hill * = presenter | n = student award winner program 55","10:30","Grand Ballroom VII (3rd Floor)","Monday, March 17","32. contributed papers: bayesian analysis of high dimensional data"
32,118,"bayesian approach for predicting protein secondary structure david b. dahl, brigham young university hyun joo and jerry w. tsai, university of the pacific qiwei li* and marina vannucci, rice university","10:45","Grand Ballroom VII (3rd Floor)","Monday, March 17","32. contributed papers: bayesian analysis of high dimensional data"
32,119,"a hierarchical bayesian model for inference of copy number variants and their association to gene expression michele guindani, university of texas mahlet g. tadesse, georgetown university marina vannucci, rice university alberto cassese*, rice university md anderson cancer center francesco falciani, university of liverpool","11:00","Grand Ballroom VII (3rd Floor)","Monday, March 17","32. contributed papers: bayesian analysis of high dimensional data"
32,120,"sampling designs for multi-species assemblage with unknown heterogeneity hongmei zhang, university of south carolina pulak ghosh, indian institute of management, bangalore kaushik ghosh*, university of nevada, las vegas","11:15","Grand Ballroom VII (3rd Floor)","Monday, March 17","32. contributed papers: bayesian analysis of high dimensional data"
32,121,"bayes multiple classification function in logic regression models wensong wu* and tan li, florida international university","11:30","Grand Ballroom VII (3rd Floor)","Monday, March 17","32. contributed papers: bayesian analysis of high dimensional data"
